Samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group
190:gonl-64	0.0030	-0.0011	0.0019	0.0108	-0.0059	-0.0067	-0.0114	-0.0099	-0.0289	0.0068	Netherlands
191:gonl-64	0.0030	-0.0051	0.0091	0.0185	0.0037	-0.0208	-0.0040	-0.0072	0.0033	-0.0028	Netherlands
193:gonl-65	0.0055	-0.0071	0.0096	0.0188	0.0028	-0.0199	0.0100	-0.0206	-0.0042	0.0144	Netherlands
194:gonl-65	0.0057	-0.0024	0.0055	0.0221	-0.0001	-0.0151	-0.0032	-0.0185	0.0107	-0.0094	Netherlands
196:gonl-66	0.0040	-0.0032	0.0018	0.0154	0.0024	-0.0060	-0.0021	0.0138	0.0060	-0.0056	Netherlands
197:gonl-66	0.0034	-0.0101	0.0005	0.0137	0.0105	-0.0219	-0.0068	-0.0065	0.0118	0.0026	Netherlands
199:gonl-67	0.0039	-0.0058	0.0105	0.0200	-0.0031	-0.0243	-0.0144	-0.0028	-0.0062	0.0110	Netherlands
200:gonl-67	0.0010	-0.0076	0.0052	0.0131	0.0031	-0.0167	0.0197	0.0066	0.0044	0.0098	Netherlands
202:gonl-68	0.0039	-0.0028	0.0062	0.0157	-0.0016	-0.0008	-0.0159	0.0059	0.0268	0.0040	Netherlands
203:gonl-68	0.0031	-0.0038	0.0055	0.0100	0.0040	-0.0137	0.0249	-0.0183	-0.0049	0.0076	Netherlands
205:gonl-69	0.0060	-0.0079	0.0034	0.0193	0.0038	-0.0169	-0.0036	-0.0172	-0.0066	-0.0007	Netherlands
206:gonl-69	0.0058	-0.0091	0.0117	0.0236	-0.0026	-0.0170	-0.0226	-0.0117	0.0041	0.0037	Netherlands
208:gonl-70	0.0011	-0.0025	0.0025	0.0172	0.0088	0.0005	-0.0228	0.0155	-0.0069	-0.0255	Netherlands
209:gonl-70	-0.0005	-0.0041	0.0034	0.0176	0.0034	-0.0166	-0.0085	-0.0002	0.0074	-0.0124	Netherlands
211:gonl-71	-0.0007	-0.0054	0.0053	0.0117	-0.0025	0.0018	0.0007	-0.0053	0.0173	0.0069	Netherlands
212:gonl-71	0.0040	-0.0035	0.0060	0.0126	0.0037	-0.0121	-0.0139	-0.0001	0.0091	0.0048	Netherlands
214:gonl-72	0.0018	-0.0043	0.0032	0.0003	-0.0055	-0.0242	0.0095	-0.0135	-0.0026	0.0026	Netherlands
215:gonl-72	0.0077	0.0049	-0.0094	0.0148	0.0003	0.0013	0.0107	-0.0021	-0.0110	-0.0006	Netherlands
217:gonl-73	0.0047	-0.0062	0.0007	0.0177	0.0103	0.0021	0.0070	0.0093	-0.0051	0.0004	Netherlands
218:gonl-73	0.0007	-0.0094	0.0061	0.0172	0.0128	-0.0130	0.0088	0.0013	-0.0025	-0.0060	Netherlands
220:gonl-74	0.0043	-0.0032	0.0044	0.0179	0.0059	-0.0123	-0.0055	0.0052	0.0063	0.0144	Netherlands
221:gonl-74	0.0056	-0.0059	0.0039	0.0103	0.0044	-0.0250	0.0057	-0.0274	-0.0269	0.0038	Netherlands
223:gonl-75	0.0069	-0.0086	0.0035	0.0240	-0.0040	-0.0226	0.0084	0.0034	-0.0177	-0.0095	Netherlands
224:gonl-75	0.0047	-0.0022	0.0060	0.0157	-0.0052	-0.0125	-0.0158	0.0015	0.0013	-0.0198	Netherlands
226:gonl-76	0.0066	-0.0109	0.0107	0.0207	-0.0013	-0.0258	0.0001	-0.0305	-0.0024	0.0057	Netherlands
227:gonl-76	0.0069	-0.0062	0.0132	0.0217	-0.0050	-0.0192	-0.0175	-0.0013	0.0070	-0.0027	Netherlands
229:gonl-77	-0.0005	-0.0056	0.0079	0.0124	0.0138	-0.0140	-0.0138	0.0074	-0.0048	0.0134	Netherlands
230:gonl-77	0.0020	-0.0038	0.0029	0.0139	0.0059	-0.0123	-0.0028	-0.0028	0.0177	0.0122	Netherlands
232:gonl-78	0.0049	-0.0090	0.0075	0.0173	-0.0044	-0.0100	0.0066	-0.0011	0.0120	0.0118	Netherlands
233:gonl-78	0.0015	-0.0078	-0.0003	0.0127	-0.0017	-0.0081	0.0008	0.0094	0.0027	-0.0195	Netherlands
235:gonl-79	0.0019	-0.0036	0.0057	0.0190	0.0015	-0.0107	-0.0033	0.0046	0.0088	0.0029	Netherlands
236:gonl-79	0.0033	-0.0053	0.0021	0.0148	-0.0056	-0.0155	-0.0070	-0.0231	0.0017	0.0024	Netherlands
238:gonl-80	0.0046	-0.0073	0.0021	0.0177	0.0042	-0.0045	-0.0023	0.0099	-0.0001	-0.0006	Netherlands
239:gonl-80	0.0038	-0.0028	0.0079	0.0205	0.0047	-0.0136	-0.0117	-0.0097	0.0024	0.0092	Netherlands
241:gonl-81	0.0027	0.0000	0.0057	0.0136	0.0014	-0.0146	0.0024	0.0053	0.0104	0.0131	Netherlands
242:gonl-81	0.0020	-0.0026	0.0004	0.0150	0.0048	-0.0073	0.0128	0.0041	-0.0066	0.0159	Netherlands
244:gonl-82	-0.0049	-0.0036	-0.0021	0.0001	-0.0036	-0.0159	-0.0206	-0.0016	0.0104	0.0083	Netherlands
245:gonl-82	-0.0026	-0.0026	0.0036	0.0061	0.0052	-0.0112	-0.0071	0.0115	0.0281	0.0033	Netherlands
247:gonl-83	0.0059	-0.0046	0.0138	0.0267	0.0035	-0.0259	-0.0038	-0.0028	-0.0021	0.0073	Netherlands
248:gonl-83	0.0004	-0.0024	0.0008	0.0101	-0.0037	-0.0069	0.0029	-0.0333	-0.0221	-0.0081	Netherlands
250:gonl-84	0.0033	-0.0044	0.0015	0.0182	-0.0061	-0.0091	0.0182	-0.0025	-0.0069	-0.0189	Netherlands
251:gonl-84	-0.0013	-0.0005	0.0023	0.0177	0.0019	-0.0143	-0.0036	0.0129	0.0058	0.0006	Netherlands
253:gonl-85	0.0067	-0.0055	0.0044	0.0204	0.0017	-0.0090	-0.0073	-0.0213	0.0079	0.0027	Netherlands
254:gonl-85	0.0066	-0.0050	0.0045	0.0128	0.0071	-0.0097	-0.0084	0.0106	0.0031	-0.0039	Netherlands
256:gonl-86	-0.0009	-0.0064	0.0032	0.0100	0.0113	-0.0163	-0.0030	0.0079	-0.0069	0.0058	Netherlands
257:gonl-86	0.0027	-0.0006	-0.0005	0.0168	0.0008	-0.0126	-0.0001	-0.0251	-0.0033	-0.0172	Netherlands
259:gonl-87	-0.0004	-0.0059	0.0031	0.0117	0.0013	-0.0105	0.0045	-0.0157	0.0026	-0.0066	Netherlands
260:gonl-87	0.0056	-0.0035	0.0042	0.0193	-0.0013	-0.0096	0.0042	0.0033	-0.0060	-0.0051	Netherlands
262:gonl-88	0.0012	-0.0044	0.0080	0.0179	0.0020	-0.0076	-0.0006	0.0171	-0.0088	0.0069	Netherlands
263:gonl-88	0.0033	-0.0052	0.0069	0.0186	0.0142	-0.0061	-0.0229	-0.0063	-0.0104	-0.0318	Netherlands
265:gonl-89	-0.0011	-0.0064	0.0023	0.0130	-0.0026	-0.0097	0.0112	0.0008	0.0136	0.0059	Netherlands
266:gonl-89	0.0004	-0.0049	0.0042	0.0166	0.0101	-0.0060	-0.0106	-0.0010	0.0093	-0.0075	Netherlands
268:gonl-90	0.0008	-0.0065	0.0087	0.0214	-0.0040	-0.0076	0.0117	-0.0086	0.0147	-0.0094	Netherlands
269:gonl-90	0.0031	-0.0042	0.0040	0.0166	-0.0002	-0.0119	-0.0222	0.0034	-0.0143	-0.0000	Netherlands
271:gonl-91	0.0004	-0.0035	0.0084	0.0090	-0.0034	-0.0136	0.0093	-0.0056	0.0141	-0.0089	Netherlands
272:gonl-91	0.0017	-0.0059	0.0011	0.0092	-0.0047	-0.0115	0.0065	-0.0135	0.0158	0.0179	Netherlands
274:gonl-92	0.0021	-0.0036	0.0054	0.0163	0.0108	-0.0154	0.0153	-0.0068	0.0119	-0.0021	Netherlands
275:gonl-92	-0.0008	-0.0051	0.0028	0.0162	0.0009	-0.0107	-0.0175	0.0194	0.0008	-0.0062	Netherlands
277:gonl-93	-0.0009	-0.0064	-0.0010	0.0180	0.0031	-0.0181	0.0133	0.0021	0.0017	0.0122	Netherlands
278:gonl-93	0.0014	-0.0039	0.0017	0.0113	-0.0082	-0.0103	-0.0022	-0.0027	0.0062	-0.0042	Netherlands
280:gonl-94	0.0003	-0.0043	0.0043	0.0089	-0.0037	-0.0109	-0.0161	0.0117	-0.0244	-0.0077	Netherlands
281:gonl-94	0.0010	-0.0027	0.0042	0.0187	-0.0056	-0.0102	0.0018	-0.0110	-0.0055	0.0021	Netherlands
283:gonl-95	-0.0014	-0.0043	0.0058	0.0071	0.0008	-0.0073	-0.0124	-0.0087	0.0055	-0.0005	Netherlands
284:gonl-95	0.0023	-0.0063	0.0010	0.0139	0.0164	-0.0004	-0.0001	-0.0087	-0.0005	-0.0018	Netherlands
286:gonl-96	0.0033	-0.0064	0.0021	0.0227	0.0115	-0.0077	0.0003	-0.0078	0.0019	-0.0099	Netherlands
287:gonl-96	0.0034	-0.0070	0.0053	0.0197	0.0023	-0.0198	0.0010	-0.0092	-0.0076	-0.0014	Netherlands
289:gonl-97	0.0067	-0.0010	0.0078	0.0236	0.0040	-0.0237	-0.0129	-0.0063	-0.0110	0.0120	Netherlands
290:gonl-97	0.0053	-0.0084	0.0059	0.0237	-0.0046	-0.0186	0.0035	0.0099	0.0228	0.0026	Netherlands
292:gonl-98	0.0000	-0.0032	0.0020	0.0135	0.0083	-0.0182	0.0126	-0.0159	0.0010	-0.0075	Netherlands
293:gonl-98	0.0010	-0.0042	0.0022	0.0140	0.0095	-0.0142	-0.0128	-0.0103	-0.0200	-0.0099	Netherlands
295:gonl-99	0.0016	-0.0033	0.0075	0.0069	0.0017	-0.0080	-0.0130	-0.0218	-0.0073	0.0072	Netherlands
296:gonl-99	0.0028	-0.0049	0.0149	0.0148	0.0095	-0.0192	-0.0052	0.0033	-0.0143	0.0066	Netherlands
298:gonl-100	0.0081	-0.0034	0.0084	0.0255	0.0094	-0.0083	-0.0100	-0.0167	0.0057	0.0034	Netherlands
299:gonl-100	0.0064	-0.0049	0.0142	0.0262	-0.0071	-0.0227	-0.0176	-0.0152	0.0029	-0.0032	Netherlands
301:gonl-101	0.0058	-0.0047	0.0034	0.0213	0.0114	-0.0215	0.0046	0.0036	-0.0087	0.0111	Netherlands
302:gonl-101	0.0090	-0.0081	0.0057	0.0258	-0.0077	-0.0267	0.0166	-0.0233	0.0001	0.0161	Netherlands
304:gonl-102	0.0087	-0.0056	0.0093	0.0260	-0.0048	-0.0196	-0.0056	-0.0153	-0.0198	-0.0031	Netherlands
305:gonl-102	0.0079	-0.0053	0.0091	0.0228	0.0004	-0.0210	0.0026	-0.0019	-0.0060	-0.0091	Netherlands
307:gonl-103	0.0002	-0.0083	0.0052	0.0146	-0.0032	-0.0077	0.0165	0.0006	0.0013	0.0055	Netherlands
308:gonl-103	0.0045	-0.0059	0.0070	0.0174	-0.0101	-0.0184	-0.0007	-0.0233	0.0070	0.0049	Netherlands
310:gonl-104	-0.0013	-0.0025	-0.0025	0.0124	-0.0029	-0.0085	0.0056	-0.0021	-0.0035	0.0011	Netherlands
311:gonl-104	0.0037	-0.0004	0.0035	0.0121	0.0031	-0.0173	-0.0049	0.0029	0.0081	0.0051	Netherlands
313:gonl-105	0.0019	-0.0015	0.0065	0.0158	0.0008	-0.0075	0.0082	-0.0028	-0.0012	0.0053	Netherlands
314:gonl-105	0.0029	-0.0051	0.0067	0.0200	0.0019	-0.0117	0.0109	-0.0068	-0.0162	0.0024	Netherlands
316:gonl-106	0.0009	-0.0044	0.0139	0.0205	-0.0076	-0.0190	0.0007	0.0023	-0.0061	0.0096	Netherlands
317:gonl-106	0.0033	-0.0032	-0.0001	0.0185	0.0035	-0.0120	0.0000	0.0027	-0.0062	0.0047	Netherlands
319:gonl-107	0.0077	-0.0073	0.0113	0.0273	0.0065	-0.0073	-0.0031	0.0081	-0.0057	-0.0030	Netherlands
320:gonl-107	0.0033	-0.0054	0.0041	0.0138	-0.0057	0.0005	-0.0126	-0.0057	-0.0103	-0.0003	Netherlands
322:gonl-108	0.0076	-0.0094	0.0087	0.0216	0.0064	-0.0170	0.0022	-0.0105	-0.0054	-0.0040	Netherlands
323:gonl-108	0.0052	-0.0039	0.0080	0.0221	0.0003	-0.0138	-0.0196	0.0008	0.0116	0.0121	Netherlands
325:gonl-109	0.0077	-0.0081	0.0091	0.0221	0.0031	-0.0205	-0.0027	0.0048	-0.0020	-0.0036	Netherlands
326:gonl-109	0.0029	-0.0058	0.0088	0.0078	0.0027	-0.0166	-0.0180	0.0077	0.0198	0.0075	Netherlands
328:gonl-110	0.0055	-0.0098	0.0018	0.0213	-0.0090	-0.0165	0.0046	0.0021	0.0004	0.0225	Netherlands
329:gonl-110	0.0060	-0.0059	0.0115	0.0283	-0.0066	-0.0179	0.0013	0.0089	-0.0113	0.0073	Netherlands
331:gonl-111	0.0019	-0.0003	0.0043	0.0131	-0.0006	-0.0013	0.0048	-0.0012	0.0088	0.0041	Netherlands
332:gonl-111	0.0044	-0.0039	0.0057	0.0157	-0.0100	-0.0161	0.0121	-0.0032	0.0026	-0.0005	Netherlands
334:gonl-112	0.0043	-0.0063	0.0014	0.0210	0.0044	-0.0201	-0.0181	-0.0087	0.0162	-0.0003	Netherlands
335:gonl-112	0.0023	-0.0038	0.0012	0.0128	-0.0040	-0.0053	-0.0008	-0.0032	-0.0052	-0.0096	Netherlands
337:gonl-113	0.0010	-0.0073	-0.0013	0.0197	-0.0070	-0.0093	0.0035	-0.0002	0.0027	0.0084	Netherlands
338:gonl-113	0.0021	-0.0045	0.0044	0.0135	0.0061	-0.0072	0.0069	0.0061	-0.0034	-0.0071	Netherlands
340:gonl-114	0.0050	-0.0082	0.0026	0.0187	0.0085	-0.0071	-0.0001	-0.0082	0.0024	0.0110	Netherlands
341:gonl-114	0.0031	-0.0035	0.0056	0.0173	-0.0011	-0.0135	-0.0095	-0.0006	0.0020	0.0143	Netherlands
343:gonl-115	0.0032	-0.0038	0.0068	0.0175	0.0020	-0.0128	-0.0058	-0.0114	-0.0091	-0.0041	Netherlands
344:gonl-115	0.0026	-0.0052	0.0006	0.0200	0.0042	-0.0232	-0.0090	-0.0006	-0.0106	0.0053	Netherlands
346:gonl-116	0.0031	-0.0074	0.0071	0.0188	0.0060	-0.0116	0.0141	-0.0055	-0.0083	0.0026	Netherlands
347:gonl-116	0.0045	-0.0040	0.0033	0.0148	0.0108	-0.0067	-0.0050	-0.0129	-0.0104	-0.0076	Netherlands
349:gonl-117	-0.0018	-0.0043	0.0009	0.0086	0.0092	-0.0034	0.0033	0.0096	-0.0087	0.0147	Netherlands
350:gonl-117	0.0023	-0.0029	0.0051	0.0150	0.0056	-0.0007	-0.0002	-0.0069	-0.0015	-0.0097	Netherlands
352:gonl-118	0.0008	-0.0062	0.0073	0.0104	0.0051	-0.0099	0.0089	-0.0109	0.0237	-0.0150	Netherlands
353:gonl-118	0.0025	-0.0042	0.0028	0.0141	-0.0103	-0.0245	-0.0004	-0.0154	-0.0056	0.0194	Netherlands
355:gonl-119	0.0022	-0.0013	0.0058	0.0119	-0.0055	-0.0044	0.0033	0.0107	0.0158	-0.0052	Netherlands
356:gonl-119	0.0037	-0.0062	0.0053	0.0190	0.0128	-0.0115	0.0027	-0.0107	0.0073	0.0040	Netherlands
358:gonl-120	0.0014	-0.0063	0.0063	0.0123	-0.0052	-0.0106	0.0111	-0.0190	0.0077	0.0244	Netherlands
359:gonl-120	-0.0017	-0.0039	0.0043	0.0073	0.0001	-0.0082	-0.0113	0.0125	-0.0027	-0.0088	Netherlands
361:gonl-121	-0.0029	-0.0055	0.0058	0.0127	-0.0001	-0.0017	0.0162	0.0074	0.0063	0.0030	Netherlands
362:gonl-121	-0.0016	-0.0037	-0.0054	0.0106	0.0060	-0.0074	0.0035	0.0045	-0.0008	0.0183	Netherlands
364:gonl-122	0.0033	-0.0037	0.0079	0.0193	0.0043	-0.0144	-0.0042	0.0025	0.0036	-0.0107	Netherlands
365:gonl-122	0.0006	-0.0060	0.0119	0.0166	-0.0010	-0.0063	0.0003	-0.0081	0.0001	0.0094	Netherlands
367:gonl-123	0.0057	-0.0029	0.0066	0.0287	-0.0046	-0.0144	0.0089	-0.0092	0.0254	0.0009	Netherlands
368:gonl-123	0.0078	-0.0047	0.0064	0.0183	-0.0016	-0.0071	0.0084	-0.0064	-0.0146	-0.0032	Netherlands
370:gonl-124	0.0036	-0.0002	0.0083	0.0191	-0.0074	-0.0105	0.0008	-0.0121	-0.0076	-0.0012	Netherlands
371:gonl-124	0.0033	-0.0043	0.0047	0.0218	-0.0075	-0.0164	-0.0039	0.0038	0.0148	0.0021	Netherlands
373:gonl-125	0.0047	-0.0028	0.0043	0.0128	0.0014	-0.0058	0.0065	0.0049	0.0063	-0.0141	Netherlands
374:gonl-125	0.0054	-0.0062	0.0047	0.0224	0.0044	-0.0134	-0.0084	0.0165	-0.0020	-0.0154	Netherlands
376:gonl-126	0.0002	-0.0016	0.0020	0.0126	0.0031	-0.0147	-0.0114	0.0008	0.0064	0.0001	Netherlands
377:gonl-126	0.0010	-0.0018	0.0029	0.0144	0.0021	-0.0061	-0.0007	-0.0055	-0.0050	0.0064	Netherlands
379:gonl-127	0.0058	-0.0067	0.0058	0.0269	-0.0080	-0.0208	-0.0162	-0.0019	0.0090	-0.0120	Netherlands
380:gonl-127	0.0056	-0.0086	0.0051	0.0181	-0.0019	-0.0139	-0.0112	0.0081	0.0144	-0.0095	Netherlands
382:gonl-128	0.0056	-0.0053	0.0100	0.0180	0.0037	-0.0142	0.0073	-0.0167	-0.0150	-0.0192	Netherlands
383:gonl-128	0.0034	-0.0036	0.0098	0.0133	0.0013	-0.0081	-0.0021	-0.0104	-0.0023	0.0139	Netherlands
385:gonl-129	-0.0026	-0.0011	-0.0008	0.0102	-0.0012	-0.0129	0.0007	-0.0158	0.0114	0.0028	Netherlands
386:gonl-129	-0.0017	-0.0027	-0.0038	0.0131	0.0058	-0.0000	-0.0042	-0.0032	-0.0031	0.0085	Netherlands
388:gonl-130	0.0043	-0.0039	0.0029	0.0219	0.0043	-0.0159	0.0158	-0.0022	0.0022	-0.0056	Netherlands
389:gonl-130	0.0024	-0.0035	0.0007	0.0218	-0.0002	-0.0131	-0.0077	0.0008	0.0026	-0.0055	Netherlands
391:gonl-131	0.0012	-0.0044	0.0073	0.0120	0.0041	-0.0114	0.0078	0.0013	-0.0127	-0.0093	Netherlands
392:gonl-131	0.0018	-0.0072	-0.0042	0.0084	0.0007	-0.0047	-0.0089	-0.0075	0.0112	0.0144	Netherlands
394:gonl-132	0.0046	-0.0068	0.0065	0.0165	0.0053	-0.0187	-0.0054	-0.0008	-0.0011	-0.0061	Netherlands
395:gonl-132	0.0035	-0.0086	0.0063	0.0102	-0.0004	-0.0165	-0.0101	-0.0022	0.0134	-0.0001	Netherlands
397:gonl-133	0.0027	-0.0032	-0.0006	0.0149	0.0018	-0.0064	0.0142	-0.0115	0.0033	-0.0078	Netherlands
398:gonl-133	0.0007	-0.0036	0.0056	0.0235	-0.0087	-0.0179	0.0079	-0.0037	-0.0183	0.0011	Netherlands
400:gonl-134	0.0069	-0.0052	0.0035	0.0283	0.0043	-0.0099	0.0105	-0.0151	-0.0022	0.0129	Netherlands
401:gonl-134	0.0089	-0.0063	0.0087	0.0254	-0.0026	-0.0053	0.0170	-0.0048	-0.0052	0.0120	Netherlands
403:gonl-135	0.0042	-0.0043	0.0058	0.0170	0.0038	-0.0166	0.0065	-0.0063	0.0254	0.0052	Netherlands
404:gonl-135	0.0053	-0.0021	-0.0003	0.0228	0.0002	-0.0279	-0.0116	-0.0073	-0.0088	0.0004	Netherlands
406:gonl-136	-0.0004	-0.0066	0.0073	0.0106	0.0104	-0.0166	-0.0076	-0.0055	-0.0175	0.0021	Netherlands
407:gonl-136	0.0041	-0.0075	0.0020	0.0165	-0.0046	-0.0064	-0.0002	-0.0071	0.0032	0.0083	Netherlands
409:gonl-137	-0.0002	-0.0080	0.0081	0.0068	0.0033	-0.0096	0.0043	0.0015	0.0064	0.0048	Netherlands
410:gonl-137	-0.0028	-0.0051	0.0022	0.0089	0.0038	-0.0080	0.0012	0.0122	0.0059	-0.0128	Netherlands
412:gonl-138	0.0033	-0.0044	0.0121	0.0142	0.0097	-0.0050	-0.0037	-0.0016	-0.0166	0.0190	Netherlands
413:gonl-138	0.0013	-0.0027	0.0033	0.0176	0.0078	-0.0116	0.0026	-0.0183	0.0095	-0.0061	Netherlands
415:gonl-139	0.0034	-0.0059	0.0099	0.0192	-0.0128	-0.0099	0.0147	-0.0097	0.0089	0.0202	Netherlands
416:gonl-139	0.0065	-0.0084	0.0043	0.0245	0.0064	-0.0176	0.0048	-0.0082	0.0039	0.0012	Netherlands
418:gonl-140	0.0034	-0.0052	0.0009	0.0167	0.0018	-0.0126	0.0124	-0.0216	-0.0030	-0.0126	Netherlands
419:gonl-140	0.0061	-0.0081	-0.0004	0.0169	0.0006	-0.0089	-0.0029	-0.0060	0.0029	0.0141	Netherlands
421:gonl-141	0.0023	-0.0077	0.0064	0.0175	-0.0019	-0.0071	-0.0064	0.0166	0.0076	-0.0013	Netherlands
422:gonl-141	0.0012	-0.0086	-0.0000	0.0118	0.0011	-0.0034	0.0028	-0.0000	0.0042	-0.0035	Netherlands
424:gonl-142	0.0044	-0.0059	0.0073	0.0106	-0.0025	-0.0087	0.0054	0.0134	0.0154	-0.0025	Netherlands
425:gonl-142	0.0018	-0.0037	0.0040	0.0179	0.0005	-0.0094	0.0023	-0.0003	0.0097	-0.0178	Netherlands
427:gonl-143	0.0050	-0.0049	-0.0000	0.0113	0.0026	-0.0113	0.0064	0.0078	-0.0118	-0.0032	Netherlands
428:gonl-143	0.0049	-0.0030	0.0021	0.0252	0.0100	-0.0133	0.0046	0.0020	-0.0032	0.0001	Netherlands
430:gonl-144	0.0027	-0.0043	0.0057	0.0126	0.0020	-0.0114	-0.0031	-0.0022	0.0034	0.0050	Netherlands
431:gonl-144	0.0031	-0.0015	0.0092	0.0118	-0.0060	-0.0165	0.0094	0.0042	-0.0052	0.0135	Netherlands
433:gonl-145	0.0076	-0.0059	0.0050	0.0339	0.0106	-0.0171	-0.0143	-0.0229	-0.0118	0.0104	Netherlands
434:gonl-145	0.0048	-0.0077	0.0059	0.0200	-0.0041	-0.0248	0.0008	-0.0032	-0.0186	-0.0082	Netherlands
436:gonl-146	0.0071	-0.0072	0.0053	0.0192	0.0005	-0.0178	0.0045	0.0057	0.0120	0.0139	Netherlands
437:gonl-146	0.0058	-0.0075	0.0052	0.0241	0.0075	-0.0266	0.0120	-0.0093	-0.0038	-0.0117	Netherlands
439:gonl-147	0.0064	-0.0068	0.0104	0.0167	-0.0016	-0.0235	-0.0050	-0.0117	0.0116	0.0080	Netherlands
440:gonl-147	0.0091	-0.0019	0.0066	0.0233	-0.0029	-0.0125	0.0046	-0.0354	0.0158	-0.0145	Netherlands
442:gonl-148	0.0019	-0.0046	0.0065	0.0142	0.0065	-0.0071	0.0088	-0.0132	0.0112	-0.0049	Netherlands
443:gonl-148	-0.0004	-0.0045	0.0097	0.0149	0.0051	-0.0091	0.0071	0.0205	-0.0066	0.0165	Netherlands
445:gonl-149	0.0097	-0.0029	0.0057	0.0190	-0.0120	-0.0160	0.0115	0.0030	-0.0046	-0.0033	Netherlands
446:gonl-149	0.0080	-0.0069	0.0111	0.0276	-0.0037	-0.0135	-0.0085	0.0064	-0.0063	-0.0119	Netherlands
448:gonl-150	0.0053	-0.0037	0.0093	0.0214	-0.0004	-0.0220	-0.0014	-0.0155	-0.0036	0.0038	Netherlands
449:gonl-150	0.0039	-0.0059	0.0075	0.0164	0.0001	-0.0134	0.0035	-0.0119	-0.0044	-0.0050	Netherlands
451:gonl-151	-0.0063	-0.0009	0.0047	0.0105	-0.0051	-0.0110	0.0036	0.0007	-0.0056	0.0065	Netherlands
452:gonl-151	0.0028	-0.0099	0.0014	0.0059	-0.0078	-0.0052	-0.0081	0.0071	-0.0019	0.0019	Netherlands
454:gonl-152	0.0055	-0.0059	0.0067	0.0184	-0.0104	-0.0122	0.0106	-0.0024	-0.0002	0.0098	Netherlands
455:gonl-152	0.0024	-0.0107	0.0098	0.0188	-0.0081	-0.0136	0.0125	-0.0023	0.0005	0.0029	Netherlands
457:gonl-153	0.0031	-0.0055	0.0030	0.0144	0.0096	-0.0092	0.0177	-0.0109	-0.0027	0.0000	Netherlands
458:gonl-153	-0.0001	-0.0022	0.0080	0.0174	0.0024	-0.0194	0.0059	-0.0199	0.0016	0.0091	Netherlands
460:gonl-154	-0.0015	-0.0086	0.0017	0.0142	0.0125	-0.0086	0.0070	0.0025	0.0208	0.0152	Netherlands
461:gonl-154	0.0052	-0.0041	0.0019	0.0210	0.0088	0.0049	0.0059	0.0020	-0.0060	-0.0112	Netherlands
463:gonl-155	0.0047	-0.0034	0.0056	0.0193	0.0016	-0.0211	-0.0070	-0.0059	-0.0031	-0.0127	Netherlands
464:gonl-155	0.0025	-0.0056	0.0054	0.0153	-0.0037	-0.0180	0.0106	0.0010	0.0016	0.0289	Netherlands
466:gonl-156	0.0036	-0.0043	0.0030	0.0133	0.0054	-0.0124	0.0058	-0.0164	0.0049	-0.0022	Netherlands
467:gonl-156	0.0019	-0.0045	0.0008	0.0161	0.0050	0.0003	0.0086	-0.0053	-0.0123	0.0096	Netherlands
469:gonl-157	-0.0019	-0.0018	0.0029	0.0050	0.0171	-0.0100	0.0089	-0.0008	0.0024	0.0002	Netherlands
470:gonl-157	0.0021	-0.0024	0.0039	0.0143	0.0125	-0.0069	-0.0125	0.0054	0.0064	0.0088	Netherlands
472:gonl-158	0.0089	-0.0020	0.0093	0.0231	0.0124	-0.0299	-0.0156	-0.0082	-0.0196	-0.0052	Netherlands
473:gonl-158	0.0071	-0.0049	0.0111	0.0236	-0.0033	-0.0135	0.0057	-0.0054	0.0080	-0.0214	Netherlands
475:gonl-159	0.0055	-0.0082	0.0085	0.0156	0.0002	-0.0141	0.0049	0.0187	-0.0055	0.0208	Netherlands
476:gonl-159	0.0054	-0.0041	0.0058	0.0137	-0.0009	-0.0072	0.0024	-0.0013	-0.0007	0.0012	Netherlands
478:gonl-160	0.0046	-0.0049	0.0103	0.0155	0.0077	-0.0005	0.0035	-0.0349	-0.0056	0.0052	Netherlands
479:gonl-160	0.0049	-0.0090	0.0021	0.0183	-0.0038	-0.0184	-0.0110	-0.0242	0.0042	-0.0143	Netherlands
481:gonl-161	0.0048	-0.0055	0.0085	0.0121	0.0079	-0.0136	0.0185	-0.0154	-0.0014	-0.0137	Netherlands
482:gonl-161	0.0058	-0.0065	0.0068	0.0200	-0.0060	-0.0166	0.0047	-0.0033	-0.0005	-0.0085	Netherlands
484:gonl-162	0.0057	-0.0068	0.0063	0.0212	-0.0049	-0.0239	0.0169	-0.0147	-0.0030	-0.0059	Netherlands
485:gonl-162	0.0049	-0.0047	0.0070	0.0249	-0.0036	-0.0249	-0.0113	-0.0069	-0.0016	-0.0234	Netherlands
487:gonl-163	0.0021	-0.0026	0.0027	0.0128	0.0056	-0.0027	0.0212	-0.0113	-0.0177	0.0004	Netherlands
488:gonl-163	0.0035	-0.0040	0.0026	0.0203	0.0004	-0.0069	0.0073	0.0147	-0.0051	0.0025	Netherlands
490:gonl-164	0.0058	-0.0064	0.0066	0.0179	0.0068	-0.0123	0.0082	0.0085	0.0105	-0.0177	Netherlands
491:gonl-164	-0.0002	-0.0034	0.0037	0.0131	0.0009	-0.0099	-0.0132	0.0052	-0.0021	-0.0080	Netherlands
493:gonl-165	0.0055	-0.0052	0.0018	0.0178	-0.0039	-0.0097	0.0015	-0.0324	0.0104	-0.0049	Netherlands
