Group
Norway
Sweden
Swedofinland
Denmark
GNG
Netherlands
England
Wales
Scotland
Orkney
NIreland
Ireland
Germany
Belgium
France
Belarus
Poland
Lithuania
Latvia
Estonia
Finland_Subset
Ukrain
Karelia
Ingrian
Slovakia
Hungary
Serbia
Macedonia
Bosnia
Kosovo
Montenegro
Croatia
Sicily
Greece
Moldavia
Corsica
Portugal
Spain
Italy
Provance
Piedmont
Tuscany
Romania
Slovenia
Albania
Bulgaria
Mordovia
Russian.DG
